date,cases,new_cases,population,cases_per_100k
2021-02-26,2176,,36484,
2021-02-25,2176,,36484,
2021-02-24,2169,,36484,
2021-02-23,2169,,36484,
2021-02-22,2168,,36484,
2021-02-21,2168,,36484,
2021-02-20,2166,,36484,
2021-02-19,2164,,36484,
2021-02-18,2160,,36484,
2021-02-17,2153,,36484,
2021-02-16,2139,,36484,
2021-02-15,2138,,36484,
2021-02-14,2136,,36484,
2021-02-13,2134,,36484,
2021-02-12,2127,,36484,
2021-02-11,2119,,36484,
2021-02-10,2111,,36484,
2021-02-09,2104,,36484,
2021-02-08,2096,,36484,
2021-02-07,2096,,36484,
2021-02-06,2088,,36484,
2021-02-05,2073,,36484,
2021-02-04,2062,,36484,
2021-02-03,2059,,36484,
2021-02-02,2040,,36484,
2021-02-01,2040,,36484,
2021-01-31,2027,,36484,
2021-01-30,2016,,36484,
2021-01-29,2000,,36484,
2021-01-28,1988,,36484,
2021-01-27,1970,,36484,
2021-01-26,1956,,36484,
2021-01-25,1953,,36484,
2021-01-24,1945,,36484,
2021-01-23,1938,,36484,
2021-01-22,1917,,36484,
2021-01-21,1893,,36484,
2021-01-20,1874,,36484,
2021-01-19,1863,,36484,
2021-01-18,1847,,36484,
2021-01-17,1830,,36484,
2021-01-16,1811,,36484,
2021-01-15,1778,,36484,
2021-01-14,1746,,36484,
2021-01-13,1727,,36484,
2021-01-12,1708,,36484,
2021-01-11,1693,,36484,
2021-01-10,1671,,36484,
2021-01-09,1639,,36484,
2021-01-08,1607,,36484,
2021-01-07,1570,,36484,
2021-01-06,1544,,36484,
2021-01-05,1527,,36484,
2021-01-04,1508,,36484,
2021-01-03,1493,,36484,
2021-01-02,1482,,36484,
2021-01-01,1450,,36484,
2020-12-31,1419,,36484,
2020-12-30,1381,,36484,
2020-12-29,1346,,36484,
2020-12-28,1325,,36484,
2020-12-27,1312,,36484,
2020-12-26,1288,,36484,
2020-12-25,1222,,36484,
2020-12-24,1222,,36484,
2020-12-23,1197,,36484,
2020-12-22,1167,,36484,
2020-12-21,1136,,36484,
2020-12-20,1118,,36484,
2020-12-19,1089,,36484,
2020-12-18,1058,,36484,
2020-12-17,1031,,36484,
2020-12-16,995,,36484,
2020-12-15,965,,36484,
2020-12-14,953,,36484,
2020-12-13,926,,36484,
2020-12-12,900,,36484,
2020-12-11,883,,36484,
2020-12-10,865,,36484,
2020-12-09,844,,36484,
2020-12-08,835,,36484,
2020-12-07,808,,36484,
2020-12-06,790,,36484,
2020-12-05,776,,36484,
2020-12-04,753,,36484,
2020-12-03,740,,36484,
2020-12-02,730,,36484,
2020-12-01,717,,36484,
2020-11-30,705,,36484,
2020-11-29,700,,36484,
2020-11-28,684,,36484,
2020-11-27,670,,36484,
2020-11-26,648,,36484,
2020-11-25,638,,36484,
2020-11-24,629,,36484,
2020-11-23,618,,36484,
2020-11-22,596,,36484,
2020-11-21,588,,36484,
2020-11-20,572,,36484,
2020-11-19,572,,36484,
2020-11-18,560,,36484,
2020-11-17,547,,36484,
2020-11-16,543,,36484,
2020-11-15,539,,36484,
2020-11-14,536,,36484,
2020-11-13,523,,36484,
2020-11-12,517,,36484,
2020-11-11,511,,36484,
2020-11-10,505,,36484,
2020-11-09,492,,36484,
2020-11-08,491,,36484,
2020-11-07,488,,36484,
2020-11-06,487,,36484,
2020-11-05,484,,36484,
2020-11-04,478,,36484,
2020-11-03,476,,36484,
2020-11-02,474,,36484,
2020-11-01,474,,36484,
2020-10-31,473,,36484,
2020-10-30,471,,36484,
2020-10-29,462,,36484,
2020-10-28,459,,36484,
2020-10-27,457,,36484,
2020-10-26,454,,36484,
2020-10-25,449,,36484,
2020-10-24,448,,36484,
2020-10-23,442,,36484,
2020-10-22,438,,36484,
2020-10-21,431,,36484,
2020-10-20,426,,36484,
2020-10-19,425,,36484,
2020-10-18,421,,36484,
2020-10-17,421,,36484,
2020-10-16,421,,36484,
2020-10-15,421,,36484,
2020-10-14,418,,36484,
2020-10-13,415,,36484,
2020-10-12,410,,36484,
2020-10-11,408,,36484,
2020-10-10,408,,36484,
2020-10-09,408,,36484,
2020-10-08,407,,36484,
2020-10-07,407,,36484,
2020-10-06,405,,36484,
2020-10-05,397,,36484,
2020-10-04,398,,36484,
2020-10-03,397,,36484,
2020-10-02,391,,36484,
2020-10-01,390,,36484,
2020-09-30,388,,36484,
2020-09-29,386,,36484,
2020-09-28,384,,36484,
2020-09-27,384,,36484,
2020-09-26,384,,36484,
2020-09-25,384,,36484,
2020-09-24,383,,36484,
2020-09-23,381,,36484,
2020-09-22,379,,36484,
2020-09-21,379,,36484,
2020-09-20,377,,36484,
2020-09-19,374,,36484,
2020-09-18,369,,36484,
2020-09-17,367,,36484,
2020-09-16,365,,36484,
2020-09-15,363,,36484,
2020-09-14,363,,36484,
2020-09-13,366,,36484,
2020-09-12,361,,36484,
2020-09-11,361,,36484,
2020-09-10,360,,36484,
2020-09-09,358,,36484,
2020-09-08,355,,36484,
2020-09-07,353,,36484,
2020-09-06,352,,36484,
2020-09-05,350,,36484,
2020-09-04,349,,36484,
2020-09-03,347,,36484,
2020-09-02,346,,36484,
2020-09-01,347,,36484,
2020-08-31,346,,36484,
2020-08-30,343,,36484,
2020-08-29,341,,36484,
2020-08-28,339,,36484,
2020-08-27,337,,36484,
2020-08-26,332,,36484,
2020-08-25,329,,36484,
2020-08-24,327,,36484,
2020-08-23,323,,36484,
2020-08-22,323,,36484,
2020-08-21,322,,36484,
2020-08-20,320,,36484,
2020-08-19,319,,36484,
2020-08-18,314,,36484,
2020-08-17,309,,36484,
2020-08-16,308,,36484,
2020-08-15,306,,36484,
2020-08-14,302,,36484,
2020-08-13,293,,36484,
2020-08-12,291,,36484,
2020-08-11,289,,36484,
2020-08-10,284,,36484,
2020-08-09,282,,36484,
2020-08-08,275,,36484,
2020-08-07,270,,36484,
2020-08-06,267,,36484,
2020-08-05,261,,36484,
2020-08-04,253,,36484,
2020-08-03,253,,36484,
2020-08-02,250,,36484,
2020-08-01,249,,36484,
2020-07-31,248,,36484,
2020-07-30,243,,36484,
2020-07-29,239,,36484,
2020-07-28,236,,36484,
2020-07-27,231,,36484,
2020-07-26,226,,36484,
2020-07-25,219,,36484,
2020-07-24,215,,36484,
2020-07-23,214,,36484,
2020-07-22,211,,36484,
2020-07-21,208,,36484,
2020-07-20,206,,36484,
2020-07-19,204,,36484,
2020-07-18,199,,36484,
2020-07-17,192,,36484,
2020-07-16,189,,36484,
2020-07-15,180,,36484,
2020-07-14,174,,36484,
2020-07-13,166,,36484,
2020-07-12,164,,36484,
2020-07-11,155,,36484,
2020-07-10,148,,36484,
2020-07-09,146,,36484,
2020-07-08,142,,36484,
2020-07-07,136,,36484,
2020-07-06,132,,36484,
2020-07-05,113,,36484,
2020-07-04,113,,36484,
2020-07-03,113,,36484,
2020-07-02,113,,36484,
2020-07-01,108,,36484,
2020-06-30,106,,36484,
2020-06-29,103,,36484,
2020-06-28,98,,36484,
2020-06-27,96,,36484,
2020-06-26,95,,36484,
2020-06-25,91,,36484,
2020-06-24,88,,36484,
2020-06-23,87,,36484,
2020-06-22,85,,36484,
2020-06-21,83,,36484,
2020-06-20,81,,36484,
2020-06-19,77,,36484,
2020-06-18,72,,36484,
2020-06-17,71,,36484,
2020-06-16,71,,36484,
2020-06-15,72,,36484,
2020-06-14,72,,36484,
2020-06-13,70,,36484,
2020-06-12,68,,36484,
2020-06-11,67,,36484,
2020-06-10,66,,36484,
2020-06-09,60,,36484,
2020-06-08,59,,36484,
2020-06-07,59,,36484,
2020-06-06,58,,36484,
2020-06-05,58,,36484,
2020-06-04,56,,36484,
2020-06-03,54,,36484,
2020-06-02,49,,36484,
2020-06-01,45,,36484,
2020-05-31,45,,36484,
2020-05-30,42,,36484,
2020-05-29,40,,36484,
2020-05-28,38,,36484,
2020-05-27,38,,36484,
2020-05-26,36,,36484,
2020-05-25,35,,36484,
2020-05-24,35,,36484,
2020-05-23,34,,36484,
2020-05-22,33,,36484,
2020-05-21,33,,36484,
2020-05-20,32,,36484,
2020-05-19,32,,36484,
2020-05-18,32,,36484,
2020-05-17,31,,36484,
2020-05-16,30,,36484,
2020-05-15,30,,36484,
2020-05-14,30,,36484,
2020-05-13,30,,36484,
2020-05-12,30,,36484,
2020-05-11,29,,36484,
2020-05-10,29,,36484,
2020-05-09,29,,36484,
2020-05-08,28,,36484,
2020-05-07,27,,36484,
2020-05-06,27,,36484,
2020-05-05,27,,36484,
2020-05-04,24,,36484,
2020-05-03,24,,36484,
2020-05-02,24,,36484,
2020-05-01,24,,36484,
2020-04-30,24,,36484,
2020-04-29,24,,36484,
2020-04-28,22,,36484,
2020-04-27,22,,36484,
2020-04-26,22,,36484,
2020-04-25,22,,36484,
2020-04-24,22,,36484,
2020-04-23,21,,36484,
2020-04-22,21,,36484,
2020-04-21,19,,36484,
2020-04-20,16,,36484,
2020-04-19,15,,36484,
2020-04-18,15,,36484,
2020-04-17,14,,36484,
2020-04-16,13,,36484,
2020-04-15,13,,36484,
2020-04-14,13,,36484,
2020-04-13,12,,36484,
2020-04-12,12,,36484,
2020-04-11,10,,36484,
2020-04-10,10,,36484,
2020-04-09,8,,36484,
2020-04-08,8,,36484,
2020-04-07,6,,36484,
2020-04-06,6,,36484,
2020-04-05,5,,36484,
2020-04-04,3,,36484,
2020-04-03,4,,36484,
2020-04-02,3,,36484,
2020-04-01,3,,36484,
2020-03-31,2,,36484,
2020-03-30,1,,36484,
2020-03-29,1,,36484,
2020-03-28,1,,36484,
2020-03-27,1,,36484,
2020-03-26,0,,36484,
2020-03-25,0,,36484,
2020-03-24,0,,36484,
2020-03-23,0,,36484,
2020-03-22,0,,36484,
2020-03-21,0,,36484,
2020-03-20,0,,36484,
2020-03-19,0,,36484,
2020-03-18,0,,36484,
2020-03-17,0,,36484,
2020-03-16,0,,36484,
